B,L
79.72065076996503,-53.362339297504036
-19.259235485247785,36.78993205164511
-29.335858337636978,90.60549932613696
-24.999400190217955,-156.72566366678333
88.35033363897128,-34.271337539654155
66.7201804825796,67.73081136320326
81.27681032256308,56.58686130978401
1.9992471382243053,-73.44457298778855
-36.87416199892008,119.49628427944594
45.05353611239593,-20.38174672429983
-4.780200024271281,-126.90112082744474
-9.344071438367308,-18.180976541467885
20.535302755571166,-132.4640191881126
-60.16592595507958,-109.77863740829906
-20.088606124375275,31.60917945753812
64.87076068028321,-160.31956274925994
-47.523877520743234,-148.5663470436948
-71.84857467197432,-62.049169134588354
10.548831204825163,154.86369172701092
33.73281571233247,34.37197924339699
